group,t_prev,t_next,gap_s,kind
S01,6.552,6.88,0.3280000000000003,false_positive
S01,6.88,7.164,0.2839999999999998,false_positive
S01,7.164,7.424,0.2600000000000007,false_positive
S01,7.424,7.696,0.27199999999999935,false_positive
S03,6.336,6.596,0.2599999999999998,false_positive
S05,3.06,5.588,2.528,false_positive
S05,5.588,7.248,1.6600000000000001,false_positive
S05,7.248,9.268,2.0200000000000005,false_positive
S100,6.832,7.356,0.524,false_positive
S11,7.732,7.932,0.20000000000000018,false_positive
S11,7.932,8.808,0.8759999999999994,false_positive
S11,8.808,9.412,0.604000000000001,false_positive
S13,4.096,7.36,3.2640000000000002,false_positive
S14,3.14,3.78,0.6399999999999997,false_positive
S14,3.78,6.132,2.352,false_positive
S18,3.008,11.116,8.108,false_positive
S20,1.912,5.868,3.9560000000000004,false_positive
S20,5.868,6.164,0.2959999999999994,false_positive
S20,6.164,6.372,0.20800000000000018,false_positive
S23,3.344,3.556,0.2120000000000002,false_positive
S23,3.556,3.812,0.2559999999999998,false_positive
S23,3.812,7.004,3.1919999999999997,false_positive
S23,7.004,9.66,2.6560000000000006,false_positive
S23,9.66,10.32,0.6600000000000001,false_positive
S23,10.32,10.484,0.1639999999999997,false_positive
S24,1.52,1.8,0.28,false_positive
S24,1.8,1.924,0.12399999999999989,false_positive
S24,1.924,8.348,6.424000000000001,false_positive
S24,8.348,8.524,0.17599999999999838,false_positive
S26,3.296,6.388,3.092,false_positive
S30,2.672,9.64,6.968,false_positive
S34,2.528,2.764,0.23599999999999977,false_positive
S34,2.764,2.992,0.2280000000000002,false_positive
S34,2.992,3.832,0.8399999999999999,false_positive
S34,3.832,4.596,0.7640000000000002,false_positive
S34,4.596,4.656,0.05999999999999961,false_positive
S34,4.656,5.544,0.8879999999999999,false_positive
S34,5.544,5.716,0.1720000000000006,false_positive
S34,5.716,6.536,0.8199999999999994,false_positive
S34,6.536,10.808,4.272,false_positive
S39,2.224,2.312,0.08799999999999963,false_positive
S39,2.312,2.616,0.30400000000000027,false_positive
S39,2.616,3.888,1.2719999999999998,false_positive
S39,3.888,4.816,0.9279999999999999,false_positive
