file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_024_EEG_01.edf,,1.044,FP1,FP1@1.044:180.7;P8@1.044:33.4,2,0.988973,-1,268.4377,10.1714
S01_024_EEG_01.edf,,1.112,T8,F7@1.100:52.3;C3@1.112:57.1;F3@1.112:25.3;F4@1.112:34.8;F8@1.112:110.4;FP2@1.112:78.7;FZ@1.112:16.9;T8@1.112:144.3;PZ@1.124:57.2;C4@1.128:33.7;CZ@1.128:39.4;P4@1.128:68.9,12,0.016616,1,90.4717,69.5854
S01_024_EEG_01.edf,,1.316,T8,C3@1.268:86.5;F3@1.268:27.1;F7@1.268:63.4;FP1@1.268:64.8;P3@1.268:22.9;C4@1.280:57.3;CZ@1.284:70.0;F4@1.316:28.1;F8@1.316:114.3;T8@1.316:157.5;FP2@1.352:38.0,11,0.016073,1,87.7653,44.4801
S01_024_EEG_01.edf,,1.444,C4,O1@1.404:32.0;O2@1.404:20.5;P3@1.420:29.9;FP1@1.436:26.1;C4@1.444:58.4;P7@1.444:45.0,6,0.052821,1,37.7703,12.7554
S01_024_EEG_01.edf,,1.508,F8,F4@1.508:22.0;F8@1.508:103.4;FP2@1.508:53.3;F7@1.540:42.8,4,0.729604,1,97.5928,12.8882
S01_024_EEG_01.edf,,1.664,FP2,FP2@1.664:125.2;F4@1.692:32.0;F8@1.692:115.1;C4@1.696:63.5;P7@1.720:76.5;O2@1.740:37.1;F3@1.752:26.9;F7@1.752:58.2;FP1@1.752:118.3;C3@1.756:89.6,10,0.515321,1,83.8681,6.2651
S01_024_EEG_01.edf,,1.852,FP2,CZ@1.836:59.1;PZ@1.836:90.7;F8@1.848:81.6;F4@1.852:22.5;FP2@1.852:119.6;C4@1.872:65.7,6,0.98422,-1,73.7642,7.819
S01_024_EEG_01.edf,,2.028,FP1,F8@2.012:79.1;F7@2.028:36.6;FP1@2.028:118.9;FP2@2.028:112.1;C3@2.044:82.1;CZ@2.044:58.4;PZ@2.044:73.4;F4@2.060:17.1;P7@2.080:58.2;O1@2.108:50.4,10,0.031328,1,90.3077,10.7709
S01_024_EEG_01.edf,,2.204,PZ,C4@2.164:55.1;CZ@2.200:68.7;O2@2.204:39.5;PZ@2.204:71.6;F7@2.220:23.6,5,0.053477,-1,62.2372,6.4044
S01_024_EEG_01.edf,,2.392,FP1,P7@2.276:53.7;P3@2.296:15.6;C3@2.308:73.2;F4@2.312:26.2;F8@2.312:66.3;C4@2.348:35.3;FP1@2.392:115.2,7,0.766363,1,113.2458,15.8445
S01_024_EEG_01.edf,,2.416,P8,O2@2.396:29.2;P8@2.416:33.0,2,0.975618,-1,32.925,10.2974
S01_024_EEG_01.edf,,2.528,FP2,P4@2.420:24.3;CZ@2.460:39.8;C3@2.464:56.4;P7@2.480:38.7;O1@2.520:39.5;F4@2.528:25.1;F8@2.528:35.3;FP2@2.528:86.4;C4@2.572:30.3;F7@2.572:25.3,10,0.636604,1,96.0671,8.4198
S01_024_EEG_01.edf,,2.628,T7,F3@2.596:51.4;P3@2.612:80.2;T7@2.628:170.3,3,0.032568,1,48.6107,34.3093
S01_024_EEG_01.edf,,2.732,FP2,PZ@2.692:115.5;F4@2.700:91.0;F8@2.700:110.2;FZ@2.704:90.7;FP1@2.712:547.8;C4@2.724:110.9;CZ@2.724:81.5;C3@2.728:90.7;P4@2.728:163.6;FP2@2.732:567.6;O1@2.732:165.2;O2@2.732:170.3;F7@2.744:232.5;T8@2.744:292.3;F3@2.760:181.7,15,0.99999,-1,127.539,19.9747
S01_024_EEG_01.edf,,2.812,T7,T7@2.812:211.4;P3@2.832:152.9;P7@2.872:136.9;FZ@2.888:73.1,4,0.055134,-1,48.6107,53.5485
S01_024_EEG_01.edf,,2.952,F7,F4@2.888:78.1;C4@2.932:82.2;F8@2.936:155.7;P4@2.936:53.5;F7@2.952:253.3;T8@2.952:156.4,6,0.000102,1,69.5677,15.9821
