file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_009_EEG_01.edf,,38.892,F3,F4@38.852:432.9;C3@38.872:3772.5;F7@38.872:5791.7;F8@38.872:9454.9;FP1@38.872:7031.5;FP2@38.872:4406.9;FZ@38.872:909.0;O2@38.872:404.2;T7@38.872:634.8;T8@38.872:2258.5;P3@38.876:9403.2;P4@38.876:532.1;C4@38.892:4255.4;CZ@38.892:4681.7;F3@38.892:9921.1;O1@38.892:2903.3;P7@38.892:2565.3;P8@38.892:9897.0;PZ@38.892:4431.2,19,1.0,1,2218.0915,2280.2904
S01_009_EEG_01.edf,,39.036,F8,O2@39.032:245.5;F8@39.036:3752.2;FZ@39.036:426.6,3,1.0,1,2224.1454,6.0732
S01_009_EEG_01.edf,,39.228,P3,C3@39.204:944.4;C4@39.204:1795.9;CZ@39.204:1911.2;F4@39.204:1030.1;O1@39.204:1538.7;O2@39.204:1065.6;P4@39.204:1044.6;P7@39.204:1456.6;PZ@39.204:1853.6;T8@39.204:976.8;F3@39.228:3219.6;F7@39.228:884.5;F8@39.228:1249.5;FP1@39.228:852.7;FP2@39.228:917.0;FZ@39.228:1003.5;P3@39.228:18533.8;P8@39.228:1328.0;T7@39.228:1014.3,19,1.0,1,4137.3821,4164.9407
S01_009_EEG_01.edf,,39.364,PZ,PZ@39.364:1480.7;CZ@39.396:848.1;P8@39.400:1467.5;C3@39.404:745.8;P7@39.440:394.0,5,0.0,-1,1008.9383,6.0802
S01_009_EEG_01.edf,,39.608,F8,C4@39.492:614.3;F4@39.528:75.4;FZ@39.528:218.9;O1@39.532:371.9;F3@39.556:1483.2;O2@39.556:125.6;FP1@39.560:1210.1;P4@39.560:79.9;F7@39.564:978.6;F8@39.608:1824.3;FP2@39.608:697.0;PZ@39.608:536.8;P7@39.620:253.8,13,0.0,1,2224.1454,7.9538
S01_009_EEG_01.edf,,39.696,P8,CZ@39.676:519.4;P8@39.696:1895.5,2,0.0,-1,2205.7343,8.2176
S01_009_EEG_01.edf,,39.82,P3,FP1@39.776:912.7;PZ@39.776:339.4;FP2@39.780:572.6;FZ@39.780:191.4;O1@39.780:185.9;O2@39.780:157.5;P4@39.780:102.6;P3@39.820:1693.1;F8@39.864:1261.8;F7@39.868:692.2;P8@39.880:1312.5,11,0.0,-1,4137.3821,37.8776
S01_009_EEG_01.edf,,40.3,P8,CZ@40.264:33.2;P8@40.300:399.2,2,0.0,-1,1293.8718,8.6112
S01_009_EEG_01.edf,,40.364,F8,F8@40.364:361.3;O2@40.372:109.2,2,1.0,1,1271.8053,7.0616
S01_009_EEG_01.edf,,40.464,P3,P4@40.452:68.8;FP1@40.456:168.8;PZ@40.456:46.1;T7@40.456:82.3;F7@40.460:145.1;FP2@40.464:120.7;P3@40.464:1236.7;O1@40.468:81.7;C4@40.480:31.4;F3@40.520:48.6;FZ@40.520:66.0;P7@40.544:75.4,12,0.0,1,1505.5564,6.5945
S01_009_EEG_01.edf,,40.636,P3,FP1@40.636:70.0;FP2@40.636:53.0;P3@40.636:799.1;PZ@40.636:59.6;F7@40.640:67.6;F8@40.640:67.4;O1@40.644:82.1;CZ@40.656:56.6;F3@40.684:99.6;P4@40.692:43.2;T7@40.696:34.1,11,0.0,-1,1411.8453,7.3667
S01_009_EEG_01.edf,,40.788,P8,P7@40.748:70.9;P8@40.788:116.7;F7@40.792:40.6;FP1@40.792:53.6;O2@40.792:48.4,5,0.000671,1,241.5423,10.5974
S01_009_EEG_01.edf,,40.92,CZ,CZ@40.920:72.8;P7@40.920:64.0;P4@40.932:27.9,3,0.059117,1,52.3606,6.0663
S01_009_EEG_01.edf,,41.236,P8,O2@41.236:29.6;P8@41.236:173.3;C4@41.256:46.2;P4@41.256:28.1;P7@41.300:33.4,5,0.733716,-1,155.485,6.7018
S01_009_EEG_01.edf,,41.404,P8,C3@41.396:58.6;P8@41.404:176.8,2,0.950565,-1,159.6701,6.9175
S01_009_EEG_01.edf,,41.592,P8,O2@41.588:34.4;P8@41.592:139.4;CZ@41.620:31.0,3,0.044777,-1,160.03,9.4587
S01_009_EEG_01.edf,,42.176,FP1,F7@42.176:33.6;FP1@42.176:36.4,2,0.037212,1,86.1925,6.3442
S01_009_EEG_01.edf,,42.548,P8,P8@42.548:53.6;C3@42.576:24.0;T7@42.620:28.2,3,0.089991,-1,59.7741,8.771
S01_009_EEG_01.edf,,43.072,P8,P7@43.040:24.0;O1@43.044:29.4;P4@43.064:28.1;P8@43.072:44.0;FP2@43.096:23.5,5,0.038894,1,46.8137,8.5416
S01_009_EEG_01.edf,,43.284,O2,T8@43.216:19.6;C4@43.244:21.3;T7@43.244:25.1;P4@43.248:30.8;O2@43.284:40.4;O1@43.304:31.8;F3@43.308:22.8;F4@43.308:22.7;FZ@43.308:20.5;P7@43.308:30.5;P3@43.332:33.2,11,0.0633,-1,11.6254,11.2845
S01_009_EEG_01.edf,,43.372,P8,P8@43.372:40.2;T7@43.404:24.2;F7@43.408:21.9,3,0.007649,-1,30.6105,10.2872
S01_009_EEG_01.edf,,43.604,FP1,F3@43.600:19.6;P8@43.600:31.3;FP1@43.604:32.2,3,0.069774,-1,18.583,7.2033
S01_009_EEG_01.edf,,43.784,F8,P7@43.752:23.9;C4@43.768:14.6;P3@43.780:26.1;F8@43.784:30.8;FP2@43.784:21.8,5,0.081495,-1,27.1948,6.3179
S01_009_EEG_01.edf,,43.888,O2,F3@43.888:31.0;O2@43.888:47.3,2,0.154821,1,12.2401,6.7185
S01_009_EEG_01.edf,,44.016,O1,T7@43.952:22.6;F7@43.968:25.5;FP1@43.968:30.7;F4@44.012:23.0;P3@44.012:32.9;P7@44.012:31.5;F8@44.016:33.1;FP2@44.016:36.8;O1@44.016:46.7;C3@44.032:24.8;P4@44.052:26.0;PZ@44.052:18.9;F3@44.056:36.8;O2@44.056:46.5,14,0.069111,1,13.9051,10.3487
S01_009_EEG_01.edf,,44.148,P8,T7@44.108:23.7;F7@44.140:26.2;FP1@44.140:35.9;T8@44.144:28.7;P8@44.148:53.8;F4@44.192:30.5;CZ@44.200:26.7;P7@44.200:46.8;O1@44.204:41.7,9,0.007249,-1,17.4316,12.4966
S01_009_EEG_01.edf,,44.288,O2,C3@44.288:18.3;F3@44.288:38.1;FZ@44.288:34.2;O2@44.288:40.0;FP1@44.292:38.7;FP2@44.308:27.3;P4@44.308:19.0;PZ@44.308:19.3;F7@44.316:25.0,9,0.005421,1,11.4972,9.3332
S01_009_EEG_01.edf,,44.42,T8,C4@44.372:17.9;T8@44.420:21.6,2,0.093085,1,8.8401,8.9267
S01_009_EEG_01.edf,,44.724,O1,F4@44.372:27.5;O1@44.376:41.1;P3@44.376:23.7;P7@44.376:41.8;P8@44.420:40.2;FP2@44.460:34.5;F8@44.464:34.7;P4@44.492:22.7;F7@44.496:27.1;F3@44.508:32.9;FZ@44.508:25.0;P3@44.540:39.7;C3@44.544:20.4;F4@44.544:34.9;O2@44.588:43.0;T8@44.620:27.5;PZ@44.624:29.6;FP1@44.652:33.5;P8@44.652:34.3;P7@44.692:41.6;FZ@44.696:25.0;F4@44.720:35.9;F8@44.720:37.3;FP2@44.720:39.9;P3@44.720:32.3;O1@44.724:53.9;F7@44.736:34.2;C3@44.740:22.3;C4@44.740:18.5;PZ@44.780:30.5,17,0.02824,1,13.9051,8.4043
S01_009_EEG_01.edf,,44.84,O2,F3@44.840:21.4;O2@44.840:43.7;P8@44.840:28.4,3,0.091079,1,11.4928,8.0578
S01_009_EEG_01.edf,,44.952,F8,PZ@44.948:27.2;F8@44.952:41.6;FP2@44.952:36.6,3,0.378717,-1,14.6697,8.3841
S01_009_EEG_01.edf,,45.104,O2,F3@45.104:20.3;O2@45.104:36.9;P8@45.108:36.4;T8@45.108:20.7,4,0.002568,1,11.182,8.2858
S01_009_EEG_01.edf,,45.22,P4,CZ@45.192:14.2;C3@45.220:19.1;C4@45.220:17.2;P4@45.220:29.0,4,0.144806,-1,7.2825,7.7896
S01_009_EEG_01.edf,,45.28,P8,P8@45.280:37.8;F7@45.296:20.7;O1@45.340:29.3;P3@45.340:25.7,4,0.009106,1,13.5055,9.1534
